inflammation,redness,rubor,excitement,excitation,inflammation,fervor,fervour,inflammation,inflaming,ignition,firing,lighting,kindling,inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosion,burst,fusillade,salvo,volley,burst,burst,fit,outburst,burst,flare-up,burst,split,break_open,break,burst,erupt,explode,burst,burst,abound,burst,bristle,burst,collapse,burst,burst,bust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singer,vocalist,vocalizer,vocaliser,Singer,Isaac_M._Singer,Isaac_Merrit_Singer,Singer,Isaac_Bashevis_Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suicide,self-destruction,self-annihilation,suicide,felo-de-se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concern,worry,headache,vexation,headache,head_ache,cephalalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,emphasis,accent,tension,tenseness,stress,stress,focus,stress,strain,stress,stress,emphasize,emphasise,punctuate,accent,accentuate,stress,accent,accentuate,try,strain,stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woman,adult_female,woman,charwoman,char,cleaning_woman,cleaning_lady,woman,womanhood,woman,fair_sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callosity,callus,callus,callus,callus,callus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiation,radiation,radiation_sickness,radiation_syndrome,radiation,radiation,radioactivity,radiation,radiation,radiotherapy,radiation_therapy,radiation,actinotherapy,irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recurrence,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scar,cicatrix,cicatrice,scratch,scrape,scar,mark,scar,mark,pock,pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outbreak,eruption,irruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire,fire,firing,fire,flame,flaming,fire,fire,ardor,ardour,fervor,fervour,fervency,fire,fervidness,fire,fire,fire,attack,flak,flack,blast,open_fire,fire,fire,discharge,fire,displace,fire,give_notice,can,dismiss,give_the_axe,send_away,sack,force_out,give_the_sack,terminate,fire,discharge,go_off,fire,arouse,elicit,enkindle,kindle,evoke,fire,raise,provoke,burn,fire,burn_down,fuel,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agony,suffering,excruciation,suffering,woe,distress,hurt,suffering,suffering,hurt,suffer,endure,suffer,sustain,have,get,suffer,digest,endure,stick_out,stomach,bear,stand,tolerate,support,brook,abide,suffer,put_up,suffer,suffer,hurt,hurt,ache,suffer,suffer,suffer,suffer,meet,suffer,lose,suffering,miserable,suffering,wretched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsunami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
escape,leak,leakage,outflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ball,musket_ball,ball,ball,globe,orb,ball,testis,testicle,orchis,ball,ballock,bollock,nut,egg,ball,Ball,Lucille_Ball,ball,clod,glob,lump,clump,chunk,ball,formal,ball,ball,ball,ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage,harm,impairment,damage,equipment_casualty,damage,harm,hurt,scathe,price,terms,damage,wrong,legal_injury,damage,damage,damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agony,suffering,excruciation,suffering,woe,distress,hurt,suffering,suffering,hurt,suffer,endure,suffer,sustain,have,get,suffer,digest,endure,stick_out,stomach,bear,stand,tolerate,support,brook,abide,suffer,put_up,suffer,suffer,hurt,hurt,ache,suffer,suffer,suffer,suffer,meet,suffer,lose,suffering,miserable,suffering,wretched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recession,recess,recession,niche,corner,recession,recessional,recession,ceding_back,receding,recession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swelling,puffiness,lump,bulge,bump,hump,swelling,gibbosity,gibbousness,jut,prominence,protuberance,protrusion,extrusion,excrescence,intumescence,intumescency,swelling,swell,swell,puff_up,swell,swell_up,intumesce,tumefy,tumesce,well_up,swell,well,swell,swell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
